timeDifference,chapter,timeDuration,start,finish,second
0:00:07,6,02:18:23-02:18:30,02:18:23,02:18:30,7
0:00:06,2,02:18:30-02:18:36,02:18:30,02:18:36,6
0:00:07,5,02:18:36-02:18:43,02:18:36,02:18:43,7
0:00:06,2,02:18:43-02:18:49,02:18:43,02:18:49,6
0:01:24,5,02:18:36-02:20:00,02:18:36,02:20:00,84
0:02:13,6,02:20:00-02:22:13,02:20:00,02:22:13,133
0:01:50,5,02:22:13-02:24:03,02:22:13,02:24:03,110
0:00:12,2,02:24:03-02:24:15,02:24:03,02:24:15,12
0:01:11,6,02:24:15-02:25:26,02:24:15,02:25:26,71
0:00:55,5,02:25:26-02:26:21,02:25:26,02:26:21,55
0:02:28,6,02:26:21-02:28:49,02:26:21,02:28:49,148
0:00:38,1,02:28:49-02:29:27,02:28:49,02:29:27,38
0:00:52,3,02:29:27-02:30:19,02:29:27,02:30:19,52
0:00:46,2,02:30:19-02:31:05,02:30:19,02:31:05,46
0:00:59,6,02:31:05-02:32:04,02:31:05,02:32:04,59
0:01:43,2,02:32:04-02:33:47,02:32:04,02:33:47,103
0:01:56,5,02:33:47-02:35:43,02:33:47,02:35:43,116
0:00:31,1,02:35:43-02:36:14,02:35:43,02:36:14,31
0:00:59,5,02:36:14-02:37:13,02:36:14,02:37:13,59
0:01:02,1,02:37:13-02:38:15,02:37:13,02:38:15,62
0:00:16,3,02:38:15-02:38:31,02:38:15,02:38:31,16
0:00:28,4,02:38:31-02:38:59,02:38:31,02:38:59,28
0:01:11,1,02:38:59-02:40:10,02:38:59,02:40:10,71
0:00:30,5,02:40:10-02:40:40,02:40:10,02:40:40,30
0:00:32,1,02:40:40-02:41:12,02:40:40,02:41:12,32
0:01:48,6,02:41:12-02:43:00,02:41:12,02:43:00,108
